browser,run,phase,elapsedSec,processCount,cpuPercent,rssMB,batteryPercent,batterySource,pids
helium,1,launch,0.84,0,0.00,0.00,29,battery,""
helium,1,launch,2.92,12,208.50,1986.00,29,battery,"58857 58935 58936 58937 58940 58941 58943 58944 58945 58946 58947 58949"
helium,1,launch,5.01,12,13.30,2073.66,29,battery,"58857 58935 58936 58937 58940 58941 58943 58944 58945 58946 58947 58949"
helium,1,launch,7.11,12,2.50,2069.39,29,battery,"58857 58935 58936 58937 58940 58941 58943 58944 58945 58946 58947 58949"
helium,1,launch,9.20,12,2.80,2069.00,29,battery,"58857 58935 58936 58937 58940 58941 58943 58944 58945 58946 58947 58949"
helium,1,navigate,11.30,12,40.60,1959.78,29,battery,"58857 58935 58936 58937 58940 58943 58944 58945 58946 58947 58949 60065"
helium,1,navigate,13.39,12,0.60,1957.16,29,battery,"58857 58935 58936 58937 58940 58943 58944 58945 58946 58947 58949 60065"
helium,1,navigate,15.49,12,0.40,1957.19,29,battery,"58857 58935 58936 58937 58940 58943 58944 58945 58946 58947 58949 60065"
helium,1,navigate,17.58,12,0.60,1957.13,29,battery,"58857 58935 58936 58937 58940 58943 58944 58945 58946 58947 58949 60065"
helium,1,navigate,19.68,12,0.60,1957.09,29,battery,"58857 58935 58936 58937 58940 58943 58944 58945 58946 58947 58949 60065"
helium,1,navigate,21.77,12,0.70,1957.39,29,battery,"58857 58935 58936 58937 58940 58943 58944 58945 58946 58947 58949 60065"
helium,1,navigate,23.87,13,20.10,2070.52,29,battery,"58857 58935 58936 58937 58940 58943 58944 58945 58946 58947 58949 60065 61688"
helium,1,navigate,25.97,13,35.60,2305.27,29,battery,"58857 58935 58936 58937 58940 58943 58944 58945 58946 58947 58949 60065 61688"
helium,1,navigate,28.07,13,1.00,2321.02,29,battery,"58857 58935 58936 58937 58940 58943 58944 58945 58946 58947 58949 60065 61688"
helium,1,navigate,30.16,13,0.80,2321.20,29,battery,"58857 58935 58936 58937 58940 58943 58944 58945 58946 58947 58949 60065 61688"
helium,1,navigate,32.26,12,58.40,2202.11,29,battery,"58857 58935 58936 58937 58940 58943 58944 58946 58947 58949 60065 61688"
helium,1,navigate,34.35,12,1.50,2172.66,29,battery,"58857 58935 58936 58937 58940 58943 58944 58946 58947 58949 60065 61688"
helium,1,navigate,36.43,13,139.70,2407.59,29,battery,"58857 58935 58936 58937 58940 58943 58944 58946 58947 58949 60065 61688 63290"
helium,1,navigate,38.53,13,3.10,2418.61,29,battery,"58857 58935 58936 58937 58940 58943 58944 58946 58947 58949 60065 61688 63290"
helium,1,navigate,40.63,13,6.60,2418.92,29,battery,"58857 58935 58936 58937 58940 58943 58944 58946 58947 58949 60065 61688 63290"
helium,1,navigate,42.72,13,0.60,2455.44,29,battery,"58857 58935 58936 58937 58940 58943 58944 58946 58947 58949 60065 61688 63290"
helium,1,navigate,44.82,13,0.10,2455.44,29,battery,"58857 58935 58936 58937 58940 58943 58944 58946 58947 58949 60065 61688 63290"
helium,1,navigate,46.91,13,1.80,2459.50,29,battery,"58857 58935 58936 58937 58940 58943 58944 58946 58947 58949 60065 61688 63290"
helium,1,idle,49.01,13,0.20,2442.00,29,battery,"58857 58935 58936 58937 58940 58943 58944 58946 58947 58949 60065 61688 63290"
helium,1,idle,51.10,13,1.80,2439.42,29,battery,"58857 58935 58936 58937 58940 58943 58944 58946 58947 58949 60065 61688 63290"
helium,1,idle,53.20,13,0.20,2441.59,29,battery,"58857 58935 58936 58937 58940 58943 58944 58946 58947 58949 60065 61688 63290"
helium,1,idle,55.29,13,20.60,2399.45,29,battery,"58857 58935 58936 58937 58940 58943 58944 58946 58947 58949 60065 61688 63290"
helium,1,idle,57.38,12,10.90,2282.91,29,battery,"58857 58935 58936 58937 58943 58944 58946 58947 58949 60065 61688 63290"
helium,1,idle,59.48,12,1.30,2287.69,29,battery,"58857 58935 58936 58937 58943 58944 58946 58947 58949 60065 61688 63290"
helium,1,idle,61.57,12,1.50,2288.14,29,battery,"58857 58935 58936 58937 58943 58944 58946 58947 58949 60065 61688 63290"
helium,1,idle,63.64,13,2.90,2302.89,29,battery,"58857 58935 58936 58937 58943 58944 58946 58947 58949 60065 61688 63290 66753"
helium,1,idle,65.74,12,6.30,1971.73,29,battery,"58857 58935 58936 58937 58943 58944 58946 58947 58949 60065 61688 63290"
helium,1,idle,67.84,10,0.80,1824.05,29,battery,"58857 58935 58936 58937 58943 58946 58947 58949 61688 63290"
helium,1,idle,69.93,10,0.90,1824.06,29,battery,"58857 58935 58936 58937 58943 58946 58947 58949 61688 63290"
helium,1,idle,72.03,10,0.20,1824.02,29,battery,"58857 58935 58936 58937 58943 58946 58947 58949 61688 63290"
helium,1,idle,74.12,10,0.70,1824.09,29,battery,"58857 58935 58936 58937 58943 58946 58947 58949 61688 63290"
helium,1,idle,76.22,10,0.20,1824.09,29,battery,"58857 58935 58936 58937 58943 58946 58947 58949 61688 63290"
helium,1,idle,78.31,10,0.10,1824.95,29,battery,"58857 58935 58936 58937 58943 58946 58947 58949 61688 63290"
helium,1,idle,80.40,10,0.10,1824.98,29,battery,"58857 58935 58936 58937 58943 58946 58947 58949 61688 63290"
helium,1,idle,82.49,10,0.60,1825.00,28,battery,"58857 58935 58936 58937 58943 58946 58947 58949 61688 63290"
helium,1,idle,84.59,10,0.50,1825.03,28,battery,"58857 58935 58936 58937 58943 58946 58947 58949 61688 63290"
helium,1,idle,86.68,9,3.60,1527.20,28,battery,"58857 58935 58936 58937 58946 58947 58949 61688 63290"
helium,1,idle,88.77,10,61.60,1934.23,28,battery,"58857 58935 58936 58937 58946 58947 58949 61688 63290 69699"
helium,1,idle,90.87,10,0.60,1819.36,28,battery,"58857 58935 58936 58937 58946 58947 58949 61688 63290 69699"
helium,1,idle,92.97,10,0.90,1819.39,28,battery,"58857 58935 58936 58937 58946 58947 58949 61688 63290 69699"
helium,1,idle,95.06,10,0.20,1819.39,28,battery,"58857 58935 58936 58937 58946 58947 58949 61688 63290 69699"
helium,1,idle,97.15,10,0.80,1818.59,28,battery,"58857 58935 58936 58937 58946 58947 58949 61688 63290 69699"
helium,1,idle,99.24,10,0.20,1824.66,28,battery,"58857 58935 58936 58937 58946 58947 58949 61688 63290 69699"
helium,1,idle,101.34,10,0.10,1824.67,28,battery,"58857 58935 58936 58937 58946 58947 58949 61688 63290 69699"
helium,1,idle,103.43,10,0.20,1824.67,28,battery,"58857 58935 58936 58937 58946 58947 58949 61688 63290 69699"
helium,1,idle,105.53,10,0.20,1824.67,28,battery,"58857 58935 58936 58937 58946 58947 58949 61688 63290 69699"
helium,1,idle,107.63,10,0.20,1824.67,28,battery,"58857 58935 58936 58937 58946 58947 58949 61688 63290 69699"
helium,1,idle,109.69,10,11.90,1848.78,28,battery,"58857 58935 58936 58937 58946 58947 58949 61688 63290 69699"
helium,1,idle,111.78,10,0.10,1853.23,28,battery,"58857 58935 58936 58937 58946 58947 58949 61688 63290 69699"
helium,1,idle,113.88,10,51.30,1843.47,28,battery,"58857 58935 58936 58937 58946 58947 58949 61688 63290 69699"
helium,1,idle,115.97,10,0.40,1843.48,28,battery,"58857 58935 58936 58937 58946 58947 58949 61688 63290 69699"
helium,1,idle,118.04,10,40.20,1716.77,28,battery,"58857 58935 58936 58937 58946 58947 58949 61688 63290 73697"
helium,1,idle,120.14,10,67.30,1968.28,28,battery,"58857 58935 58936 58937 58946 58947 58949 61688 63290 73697"
helium,1,idle,122.24,10,1.90,1827.14,28,battery,"58857 58935 58936 58937 58946 58947 58949 61688 63290 73697"
